Latitude,Longitude,Type,Licensee Name,Child Care Centre Name,# of Infant,# of Toddler,# of Preschool,# of Kindergarten,# of Primary/Junior School Age ,# of Junior School Age,# of Family Age Group,Total Capacity,CCC Civic Address,CCC Civic Address -  City,CCC Civic Address -  Province,CCC Civic Address - Postal Code,Full French Service,Indigenous
45.416153,-75.6980512,Centre,10613916 Canada Inc.,Tiny Hoppers Downtown Ottawa,10,30,48,0,0,0,0,88,360 Lisgar Street,Ottawa, Ontario, K1P 5M1,,
,,Centre,109354 Association Canada Inc.,Children on the Hill/Les enfants de la colline,0,10,24,0,0,0,0,34,"House of C Box 904, Confederation Bldg.",Ottawa, Ontario, K1A 0A6,,
45.3447944,-75.6322141,Centre,1799720 Ontario Inc.,Monkey Around Play & Learn Centre,10,15,48,0,0,0,0,73,7-1650 Queensdale Avenue,Ottawa, Ontario, K1T 1N8,,
45.2805166,-75.738372,Centre,2453051 Ontario Incorporated,FIT4KIDS,0,0,0,0,30,0,0,30,199 Berrigan Drive,Nepean, Ontario, K2J 5C6,,
45.3213032,-75.8897366,Centre,4052676 Canada Inc.,Tiny Hoppers Kanata North Daycare,0,15,64,0,0,0,0,79,50 Colchester  Square,Kanata, Ontario, K2K 2W9,,
45.4117485,-75.6971285,Centre,4498780 CANADA INC.,Florence Child Care,0,15,24,0,0,0,0,39,79 Florence  Street,Ottawa, Ontario, K1R 5N1,,
45.4686787,-75.4557008,Centre,6088325 CANADA INC.,Tiny Hoppers Orleans Daycare Centre,0,15,40,0,0,0,0,55,5160 Innes  Road,Ottawa, Ontario, K4A 0G4,,
45.490816,-75.4811759,Centre,6099050 Canada Inc.,Centre éducatif des Bécasseaux,20,30,48,49,30,0,0,177,510 Lacolle  Way,Orléans, Ontario, K4A 0N9,French,
45.394396,-75.6826632,Centre,6317081 Canada Inc.,Glebe Reggio Centre,0,15,34,0,0,0,0,49,276 Sunnyside  Avenue,Ottawa, Ontario, K1S 0R4,,
45.2914913,-75.8571414,Centre,6781454 CANADA CORP.,Tiny Hoppers in Bridlewood,0,15,40,0,0,0,0,55,64 Stonehaven  Drive,Kanata, Ontario, K2M 2Y2,,
45.364912,-75.7500139,Centre,7869177 Canada Inc.,Little Love Bugs Daycare,10,30,48,0,0,0,0,88,1160 Maitland  Avenue,Ottawa, Ontario, K2C 2C2,,
45.3178643,-75.5947134,Centre,7887825 Canada Inc.,Tiny Hoppers Findlay Creek,0,15,24,16,0,0,0,55,4772 Bank  Street,Ottawa, Ontario, K1T 4J5,,
45.2659326,-75.7713449,Centre,7890796 Canada Inc.,Tiny Hoppers Barrhaven,0,15,24,0,0,0,0,39,3023 Cedarview  Road,Nepean, Ontario, K2J 4A8,,
,,Centre,A Gym Tale Inc.,A Gym Tale,0,0,0,0,30,0,0,30,3777 Strandherd  Road,Ottawa, Ontario, K2J 4B1,,
45.4033161,-75.7292438,Centre,ABC Infant and Toddler Centre of Ottawa,ABC Infant and Toddler Centre,16,20,0,0,0,0,0,36,5 Pinehurst  Avenue,Ottawa, Ontario, K1Y 1K2,,
45.4026071,-75.7295807,Centre,ABC Infant and Toddler Centre of Ottawa,ABC Preschool Centre,0,0,40,0,0,0,0,40,28 Oxford  Street,Ottawa, Ontario, K1Y 2R7,,
45.3467502,-75.7907999,Centre,Acadecap Corporation,Acadekidz,0,20,24,0,0,0,0,44,1010 Morrison Drive,Ottawa, Ontario, K2H 8K7,,
45.4402253,-75.6432102,Centre,Académie St-Laurent Academy Inc.,St. Laurent Academy/Académie St. Laurent,10,26,48,0,0,0,0,84,641 Sladen  Avenue,Ottawa, Ontario, K1K 2S8,,
45.4019425,-75.6143345,Centre,Académie St-Laurent Academy Inc.,St-Laurent Academy,10,10,16,0,0,0,0,36,2525 Lancaster  Road,Ottawa, Ontario, K1B 4L5,,
45.407247,-75.6911116,Centre,Acorn Early Learning Centre Inc.,Acorn Early Learning Centre,0,13,32,33,15,0,0,93,600 Bank  Street,Ottawa, Ontario, K1S 3T6,,
45.3475675,-75.7609952,Centre,Algonquin College of Applied Arts & Technology,Algonquin College Early Learning Centre,10,15,24,0,0,0,0,49,1385 Woodroffe  Avenue,Nepean, Ontario, K2G 1V8,,
